ticket,type,entry_time,exit_time,entry_price,exit_price,pnl,exit_reason,magic,basket_layers
4840,SELL,2025-06-14 07:54:00,2025-06-14 07:55:00,106038.91,105804.15,15.733200000000654,Basket TP,20260523,1
4841,SELL,2025-06-14 14:38:00,2025-06-14 14:51:00,105092.37,105083.55,-0.4248000000027239,Basket TP,20260523,1
4842,SELL,2025-06-14 15:47:00,2025-06-14 15:51:00,105101.35,105078.84,4.5036000000033525,Basket TP,20260523,1
4843,SELL,2025-06-14 17:36:00,2025-06-14 17:37:00,105093.79,105055.45,1.9837999999997558,Basket TP,20260523,1
4844,SELL,2025-06-14 20:04:00,2025-06-14 20:05:00,105110.03,105072.24,1.945299999999552,Basket TP,20260523,1
4845,SELL,2025-06-15 01:13:00,2025-06-15 01:15:00,104916.8,104875.92,30.880000000004657,Basket TP,20260523,1
4846,SELL,2025-06-15 02:03:00,2025-06-15 02:04:00,104894.93,104926.84,-41.91000000000349,Basket TP,20260523,1
4847,SELL,2025-06-15 03:35:00,2025-06-15 03:36:00,104814.33,104849.05,-44.720000000001164,Basket TP,20260523,1
4848,SELL,2025-06-15 03:41:00,2025-06-15 03:42:00,104940.92,104937.5,-6.580000000001746,Basket TP,20260523,1
4849,SELL,2025-06-15 04:22:00,2025-06-15 04:23:00,105077.79,104978.43,89.36000000000058,Basket TP,20260523,1
4850,SELL,2025-06-15 04:24:00,2025-06-15 04:25:00,104984.07,104972.05,2.0200000000040745,Basket TP,20260523,1
4851,SELL,2025-06-15 04:49:00,2025-06-15 04:50:00,105301.09,105261.47,29.619999999995343,Basket TP,20260523,1
4852,SELL,2025-06-15 05:10:00,2025-06-15 05:11:00,105484.45,105465.47,0.6285999999997148,Basket TP,20260524,1
4853,SELL,2025-06-15 05:12:00,2025-06-15 05:13:00,105464.91,105471.97,-1.1941999999998372,Basket TP,20260524,1
4854,SELL,2025-06-15 05:14:00,2025-06-15 05:31:00,105471.3,105468.21,-0.4837000000002445,Basket TP,20260524,1
