ticket,type,entry_time,exit_time,entry_price,exit_price,pnl,exit_reason,magic,basket_layers
95,SELL,2026-07-25 20:45:00,2026-07-28 05:40:00,1866.19,1914.1900000000007,-4.900000000000068,Basket TP,20260802,13
96,SELL,2026-07-26 07:07:00,2026-07-28 05:40:00,1876.19,1914.1900000000007,-3.9000000000000683,Basket TP,20260802,13
97,SELL,2026-07-26 11:45:00,2026-07-28 05:40:00,1886.19,1914.1900000000007,-2.9000000000000683,Basket TP,20260802,13
98,SELL,2026-07-26 21:45:00,2026-07-28 05:40:00,1896.19,1914.1900000000007,-1.9000000000000683,Basket TP,20260802,13
99,SELL,2026-07-26 22:17:00,2026-07-28 05:40:00,1906.19,1914.1900000000007,-0.9000000000000682,Basket TP,20260802,13
100,SELL,2026-07-26 23:28:00,2026-07-28 05:40:00,1916.19,1914.1900000000007,0.09999999999993178,Basket TP,20260802,13
101,SELL,2026-07-26 23:32:00,2026-07-28 05:40:00,1926.19,1914.1900000000007,1.0999999999999317,Basket TP,20260802,13
102,SELL,2026-07-27 05:00:00,2026-07-28 05:40:00,1936.19,1914.1900000000007,2.0999999999999317,Basket TP,20260802,13
103,SELL,2026-07-27 05:48:00,2026-07-28 05:40:00,1946.19,1914.1900000000007,3.0999999999999317,Basket TP,20260802,13
104,SELL,2026-07-27 06:07:00,2026-07-28 05:40:00,1956.19,1914.1900000000007,4.099999999999932,Basket TP,20260802,13
105,SELL,2026-07-27 12:58:00,2026-07-28 05:40:00,1966.19,1914.1900000000007,5.099999999999932,Basket TP,20260802,13
106,SELL,2026-07-27 13:06:00,2026-07-28 05:40:00,1976.19,1914.1900000000007,6.099999999999932,Basket TP,20260802,13
107,SELL,2026-07-28 20:15:00,2026-07-28 20:22:00,1889.01,1887.01,0.1,Basket TP,20260803,1
108,SELL,2026-07-28 20:23:00,2026-07-28 20:25:00,1887.02,1885.02,0.1,Basket TP,20260803,1
109,SELL,2026-07-28 20:26:00,2026-07-28 20:27:00,1884.81,1882.81,0.1,Basket TP,20260803,1
110,SELL,2026-07-28 20:28:00,2026-07-28 20:30:00,1882.82,1880.82,0.1,Basket TP,20260803,1
111,SELL,2026-07-28 22:30:00,2026-07-28 22:31:00,1909.16,1907.16,0.1,Basket TP,20260802,1
112,SELL,2026-07-28 22:32:00,2026-07-28 22:50:00,1908.41,1911.41,-0.4,Basket TP,20260802,2
113,SELL,2026-07-28 22:46:00,2026-07-28 22:50:00,1918.41,1911.41,0.6000000000000001,Basket TP,20260802,2
114,BUY,2026-07-29 00:50:00,2026-07-29 01:00:00,1899.09,1901.09,0.1,Basket TP,20260802,1
115,BUY,2026-07-29 06:00:00,2026-07-29 06:33:00,1909.15,1911.15,0.1,Basket TP,20260802,1
116,BUY,2026-07-29 09:10:00,2026-07-29 09:12:00,1905.11,1907.11,0.1,Basket TP,20260802,1
117,BUY,2026-07-29 09:13:00,2026-07-29 09:28:00,1907.49,1909.4900000000002,0.10000000000002274,Basket TP,20260802,1
118,SELL,2026-07-30 05:25:00,2026-07-30 05:31:00,1904.79,1902.79,0.1,Basket TP,20260802,1
119,BUY,2026-07-30 07:50:00,2026-07-30 08:02:00,1895.1,1897.1,0.1,Basket TP,20260802,1
120,BUY,2026-07-30 12:10:00,2026-07-30 12:15:00,1899.7,1901.7000000000003,0.10000000000002274,Basket TP,20260802,1
121,SELL,2026-08-01 00:40:00,2026-08-01 01:11:00,1871.05,1869.0500000000002,0.09999999999997727,Basket TP,20260802,1
122,SELL,2026-08-01 21:45:00,2026-08-01 22:45:00,1870.69,1868.69,0.1,Basket TP,20260803,1
123,SELL,2026-08-02 08:25:00,2026-08-02 15:39:00,1851.85,1864.85,-1.4000000000000001,Basket TP,20260802,4
124,SELL,2026-08-02 09:06:00,2026-08-02 15:39:00,1861.85,1864.85,-0.4,Basket TP,20260802,4
125,SELL,2026-08-02 09:07:00,2026-08-02 15:39:00,1871.85,1864.85,0.6000000000000001,Basket TP,20260802,4
126,SELL,2026-08-02 09:19:00,2026-08-02 15:39:00,1881.85,1864.85,1.6,Basket TP,20260802,4
127,SELL,2026-08-03 01:50:00,2026-08-03 01:51:00,1875.17,1873.12,0.010500000000001819,Basket TP,20260802,1
128,SELL,2026-08-03 01:52:00,2026-08-03 05:39:00,1873.63,1881.49,-0.088599999999999,Basket TP,20260802,3
129,SELL,2026-08-03 04:04:00,2026-08-03 05:39:00,1883.63,1881.49,0.011400000000001001,Basket TP,20260802,3
130,SELL,2026-08-03 04:42:00,2026-08-03 05:39:00,1893.63,1881.49,0.11140000000000101,Basket TP,20260802,3
131,SELL,2026-08-03 17:10:00,2026-08-03 17:28:00,1847.96,1845.96,0.1,Basket TP,20260802,1
132,SELL,2026-08-03 20:25:00,2026-08-03 20:26:00,1846.35,1844.34,0.10099999999999909,Basket TP,20260802,1
133,SELL,2026-08-03 20:27:00,2026-08-03 20:28:00,1844.5,1842.5,0.1,Basket TP,20260802,1
134,SELL,2026-08-03 20:29:00,2026-08-03 20:31:00,1840.45,1838.45,0.1,Basket TP,20260802,1
135,SELL,2026-08-03 21:05:00,2026-08-03 21:08:00,1852.97,1850.9700000000003,0.09999999999997727,Basket TP,20260802,1
136,SELL,2026-08-03 21:09:00,2026-08-03 21:21:00,1851.28,1849.28,0.1,Basket TP,20260802,1
137,SELL,2026-08-03 21:22:00,2026-08-03 21:23:00,1851.63,1849.63,0.1,Basket TP,20260803,1
138,SELL,2026-08-03 21:24:00,2026-08-03 22:57:00,1850.88,1858.88,-0.9,Basket TP,20260803,3
139,SELL,2026-08-03 21:28:00,2026-08-03 22:57:00,1860.88,1858.88,0.1,Basket TP,20260803,3
140,SELL,2026-08-03 21:56:00,2026-08-03 22:57:00,1870.88,1858.88,1.1,Basket TP,20260803,3
141,SELL,2026-08-04 02:40:00,2026-08-04 03:01:00,1868.38,1866.38,0.1,Basket TP,20260802,1
142,SELL,2026-08-04 08:50:00,2026-08-04 09:20:00,1862.54,1860.5400000000002,0.09999999999997727,Basket TP,20260802,1
143,SELL,2026-08-04 11:55:00,2026-08-04 11:58:00,1868.62,1866.62,0.1,Basket TP,20260802,1
144,SELL,2026-08-04 11:59:00,2026-08-04 12:02:00,1866.94,1864.94,0.1,Basket TP,20260802,1
145,SELL,2026-08-04 17:55:00,2026-08-04 20:30:00,1864.15,1867.15,-0.4,Basket TP,20260802,2
146,SELL,2026-08-04 19:35:00,2026-08-04 20:30:00,1874.15,1867.15,0.6000000000000001,Basket TP,20260802,2
147,SELL,2026-08-05 12:35:00,2026-08-05 13:21:00,1870.45,1868.45,0.1,Basket TP,20260802,1
148,SELL,2026-08-05 19:35:00,2026-08-05 19:52:00,1877.14,1875.14,0.1,Basket TP,20260802,1
149,SELL,2026-08-05 23:35:00,2026-08-05 23:36:00,1890.54,1888.54,0.1,Basket TP,20260802,1
150,SELL,2026-08-05 23:37:00,2026-08-05 23:47:00,1890.18,1888.1800000000003,0.09999999999997727,Basket TP,20260802,1
151,BUY,2026-08-06 09:25:00,2026-08-06 11:16:00,1897.66,1899.66,0.1,Basket TP,20260802,1
152,BUY,2026-08-06 18:10:00,2026-08-06 18:13:00,1898.19,1900.19,0.1,Basket TP,20260802,1
153,BUY,2026-08-06 18:14:00,2026-08-06 18:15:00,1900.29,1902.29,0.1,Basket TP,20260802,1
154,BUY,2026-08-06 20:15:00,2026-08-06 20:18:00,1893.61,1895.61,0.1,Basket TP,20260802,1
155,BUY,2026-08-06 20:19:00,2026-08-06 20:36:00,1894.94,1896.9400000000003,0.10000000000002274,Basket TP,20260802,1
156,BUY,2026-08-07 02:00:00,2026-08-07 02:02:00,1904.01,1906.01,0.1,Basket TP,20260802,1
157,BUY,2026-08-07 02:03:00,2026-08-07 02:11:00,1904.93,1906.93,0.1,Basket TP,20260802,1
158,BUY,2026-08-07 06:45:00,2026-08-07 06:51:00,1897.92,1899.9200000000003,0.10000000000002274,Basket TP,20260802,1
159,BUY,2026-08-07 21:20:00,2026-08-07 21:21:00,1916.36,1918.36,0.1,Basket TP,20260802,1
160,BUY,2026-08-07 21:22:00,2026-08-07 21:24:00,1919.01,1921.01,0.1,Basket TP,20260802,1
161,BUY,2026-08-08 00:10:00,2026-08-08 00:45:00,1908.8,1910.8,0.1,Basket TP,20260802,1
162,BUY,2026-08-08 14:45:00,2026-08-08 15:34:00,1913.3,1915.3,0.1,Basket TP,20260802,1
163,BUY,2026-08-09 01:30:00,2026-08-09 15:04:00,1919.07,1921.07,0.1,Basket TP,20260802,1
164,BUY,2026-08-09 19:10:00,2026-08-09 20:05:00,1915.68,1917.68,0.1,Basket TP,20260802,1
165,BUY,2026-08-09 23:35:00,2026-08-10 04:39:00,1922.06,1924.0600000000002,0.10000000000002274,Basket TP,20260802,1
166,BUY,2026-08-10 06:40:00,2026-08-10 07:07:00,1909.46,1911.46,0.01,Basket TP,20260802,1
167,BUY,2026-08-10 17:05:00,2026-08-10 18:56:00,1917.38,1919.38,0.1,Basket TP,20260802,1
168,BUY,2026-08-10 20:05:00,2026-08-10 20:13:00,1905.67,1907.67,0.1,Basket TP,20260802,1
169,BUY,2026-08-10 20:15:00,2026-08-10 20:37:00,1906.98,1903.98,-0.4,Basket TP,20260803,2
